Date,HYG_Volume
2007-04-11,1900
2007-04-12,6100
2007-04-13,3400
2007-04-16,7600
2007-04-17,28100
2007-04-18,6300
2007-04-19,47500
2007-04-20,4900
2007-04-23,1700
2007-04-24,398500
2007-04-25,16300
2007-04-26,48200
2007-04-27,8300
2007-04-30,15500
2007-05-01,8600
2007-05-02,4700
2007-05-03,17200
2007-05-04,4600
2007-05-07,4200
2007-05-08,16100
2007-05-09,9400
2007-05-10,17400
2007-05-11,12200
2007-05-14,11600
2007-05-15,39400
2007-05-16,78100
2007-05-17,14500
2007-05-18,5200
2007-05-21,14600
2007-05-22,10200
2007-05-23,22500
2007-05-24,17100
2007-05-25,7400
2007-05-29,4900
2007-05-30,4300
2007-05-31,6200
2007-06-01,13500
2007-06-04,21800
2007-06-05,4500
2007-06-06,74600
2007-06-07,12100
2007-06-08,17800
2007-06-11,2900
2007-06-12,67300
2007-06-13,24600
2007-06-14,18200
2007-06-15,13500
2007-06-18,14600
2007-06-19,19600
2007-06-20,16900
2007-06-21,13900
2007-06-22,27800
2007-06-25,29000
2007-06-26,43600
2007-06-27,6800
2007-06-28,9500
2007-06-29,14600
2007-07-02,19600
2007-07-03,11700
2007-07-05,14600
2007-07-06,8200
2007-07-09,8400
2007-07-10,19700
2007-07-11,17200
2007-07-12,8300
2007-07-13,5200
2007-07-16,17100
2007-07-17,10600
2007-07-18,15600
2007-07-19,6400
2007-07-20,18600
2007-07-23,9000
2007-07-24,44900
2007-07-25,28100
2007-07-26,43200
2007-07-27,44600
2007-07-30,24600
2007-07-31,34000
2007-08-01,33500
2007-08-02,28800
2007-08-03,20100
2007-08-06,30400
2007-08-07,68800
2007-08-08,30300
2007-08-09,12800
2007-08-10,18800
2007-08-13,21300
2007-08-14,12400
2007-08-15,9100
2007-08-16,15300
2007-08-17,30000
2007-08-20,49300
2007-08-21,33700
2007-08-22,52700
2007-08-23,59400
2007-08-24,11600
2007-08-27,11800
2007-08-28,55800
2007-08-29,18300
2007-08-30,42900
2007-08-31,11300
2007-09-04,13500
2007-09-05,14400
2007-09-06,16400
2007-09-07,50700
2007-09-10,10000
2007-09-11,24100
2007-09-12,32000
2007-09-13,10900
2007-09-14,33900
2007-09-17,20100
2007-09-18,31400
2007-09-19,85900
2007-09-20,410400
2007-09-21,105100
2007-09-24,45500
2007-09-25,167500
2007-09-26,25300
2007-09-27,49200
2007-09-28,46700
2007-10-01,50300
2007-10-02,72100
2007-10-03,35300
2007-10-04,17600
2007-10-05,22900
2007-10-08,18600
2007-10-09,14600
2007-10-10,21200
2007-10-11,22300
2007-10-12,73700
2007-10-15,24600
2007-10-16,60600
2007-10-17,15200
2007-10-18,13200
2007-10-19,40200
2007-10-22,64600
2007-10-23,27000
2007-10-24,22200
2007-10-25,16600
2007-10-26,10800
2007-10-29,19900
2007-10-30,10500
2007-10-31,12000
2007-11-01,29400
2007-11-02,32300
2007-11-05,13800
2007-11-06,34900
2007-11-07,11900
2007-11-08,121000
2007-11-09,38400
2007-11-12,41400
2007-11-13,15300
2007-11-14,7800
2007-11-15,15500
2007-11-16,18400
2007-11-19,16700
2007-11-20,26500
2007-11-21,139600
2007-11-23,3100
2007-11-26,69500
2007-11-27,25700
2007-11-28,11700
2007-11-29,20200
2007-11-30,34900
2007-12-03,31400
2007-12-04,16300
2007-12-05,270600
2007-12-06,33200
2007-12-07,27100
2007-12-10,23500
2007-12-11,30300
2007-12-12,29400
2007-12-13,44500
2007-12-14,15600
2007-12-17,18900
2007-12-18,53200
2007-12-19,24000
2007-12-20,31300
2007-12-21,37600
2007-12-24,66800
2007-12-26,48400
2007-12-27,22900
2007-12-28,88500
2007-12-31,38800
2008-01-02,61800
2008-01-03,64800
2008-01-04,48600
2008-01-07,177200
2008-01-08,42100
2008-01-09,51600
2008-01-10,154800
